Device,Brand,Age_Months,Daily_Usage_Hours,Usage_Type,Failure_After_Months,Symptom1,Symptom2,Symptom3,Severity,Faulty_Component,Recommended_Solution,Estimated_Repair_Cost_INR,Estimated_Repair_Time_Hours
Desktop,HP,49,16,Remote Worker,40,Random Restart,Capacitor Bulge,Short Circuit,High,Motherboard,"Step 1: Disconnect all peripherals and power cables; Step 2: Inspect for bulging/burnt capacitors and burning smell; Step 3: Reset CMOS using the jumper or by removing the battery; Step 4: Reseat RAM and GPU to rule out connection issues; Step 5: If no POST persists, the motherboard likely needs professional repair or replacement.",8000,5.2
Laptop,Asus,83,10,Student,83,Fan Whining Noise,Hot Bottom Panel,Performance Drop,Medium,Cooling Fan,Step 1: Use compressed air to clean the fan vents and intake; Step 2: Open the back panel and clean dust from the fan and heatsink; Step 3: Check fan spin freely without obstruction; Step 4: Reapply thermal paste on CPU/GPU if overheating persists; Step 5: Replace the cooling fan if noise or shutdown continues after cleaning.,800,1.9
Laptop,Lenovo,42,14,Office,37,Overheating,Fan Noise,Auto Shutdown,High,Cooling Fan,Step 1: Use compressed air to clean the fan vents and intake; Step 2: Open the back panel and clean dust from the fan and heatsink; Step 3: Check fan spin freely without obstruction; Step 4: Reapply thermal paste on CPU/GPU if overheating persists; Step 5: Replace the cooling fan if noise or shutdown continues after cleaning.,800,1.7
Laptop,Acer,64,3,Content Creator,64,Camera Not Detected,Blurry Image,Black Screen,Low,Webcam,Step 1: Check camera privacy settings and app permissions; Step 2: Update or reinstall the webcam drivers; Step 3: Test the webcam in a different application; Step 4: Check the internal camera cable connection if accessible; Step 5: Replace the webcam module if not detected after driver reinstall.,1100,1.0
Desktop,Asus,80,2,Student,78,Frequent Freezing,Read Write Error,Disk Warning,High,SSD,Step 1: Back up all critical data immediately; Step 2: Check disk health using CrystalDiskInfo or manufacturer tool; Step 3: Update the SSD firmware and check SATA/NVMe cable connections; Step 4: Run CHKDSK or a disk repair utility to fix file system errors; Step 5: Replace the SSD if SMART status shows failing or bad sectors increase.,3450,2.6
Laptop,MSI,45,12,Business,41,High Temperature,Fan Slow,Random Shutdown,High,Cooling Fan,Step 1: Use compressed air to clean the fan vents and intake; Step 2: Open the back panel and clean dust from the fan and heatsink; Step 3: Check fan spin freely without obstruction; Step 4: Reapply thermal paste on CPU/GPU if overheating persists; Step 5: Replace the cooling fan if noise or shutdown continues after cleaning.,1200,2.2
Desktop,Lenovo,12,10,Normal,7,Storage Not Detected,Boot Failure,BIOS Error,High,SSD,Step 1: Back up all critical data immediately; Step 2: Check disk health using CrystalDiskInfo or manufacturer tool; Step 3: Update the SSD firmware and check SATA/NVMe cable connections; Step 4: Run CHKDSK or a disk repair utility to fix file system errors; Step 5: Replace the SSD if SMART status shows failing or bad sectors increase.,5150,2.5
Laptop,Apple,77,13,Gaming,67,Overheating,Fan Noise,Auto Shutdown,Medium,Cooling Fan,Step 1: Use compressed air to clean the fan vents and intake; Step 2: Open the back panel and clean dust from the fan and heatsink; Step 3: Check fan spin freely without obstruction; Step 4: Reapply thermal paste on CPU/GPU if overheating persists; Step 5: Replace the cooling fan if noise or shutdown continues after cleaning.,1550,1.7
Laptop,Apple,33,1,Student,26,Slow Startup,Disk Errors,Storage Not Detected,High,SSD,Step 1: Back up all critical data immediately; Step 2: Check disk health using CrystalDiskInfo or manufacturer tool; Step 3: Update the SSD firmware and check SATA/NVMe cable connections; Step 4: Run CHKDSK or a disk repair utility to fix file system errors; Step 5: Replace the SSD if SMART status shows failing or bad sectors increase.,1750,2.7
Mobile,OnePlus,80,6,Developer,73,Flickering Screen,Lines On Screen,Touch OK,High,Display,Step 1: Connect to an external monitor to check if the issue is the panel or GPU; Step 2: Check display cable/flex connection inside the device; Step 3: Adjust brightness and refresh rate settings to rule out software glitches; Step 4: Update or roll back display drivers; Step 5: Replace the display panel/digitizer if hardware fault is confirmed.,8900,1.2
Mobile,Realme,80,2,Normal,73,Camera Not Opening,App Force Close,Black Preview,Medium,Camera Module,Step 1: Clean the camera lens of smudges or dust; Step 2: Force-close and reopen the camera app; Step 3: Check for pending software updates; Step 4: Restart the device to clear temporary camera service errors; Step 5: Replace the camera module if blur/focus issues continue after cleaning.,2300,1.2
Mobile,Samsung,29,4,Remote Worker,27,Not Charging,Cable OK,Battery OK,Medium,Charging IC,Step 1: Test with a different cable and charger to rule out accessories; Step 2: Clean the charging port of dust/lint; Step 3: Restart the device and check for charging software glitch; Step 4: Check for overheating during charging attempts; Step 5: Replace the charging IC at a service center if hardware fault is confirmed.,3100,1.4
Laptop,HP,70,14,Office,70,Speaker Buzzing,Low Bass,Distorted Output,Medium,Speaker,Step 1: Check volume mixer and mute settings; Step 2: Update or reinstall audio drivers; Step 3: Test with headphones to isolate speaker hardware fault; Step 4: Clean speaker grille of dust/debris; Step 5: Replace the speaker unit if crackling/no sound persists.,1300,1.4
Laptop,MSI,12,2,Content Creator,6,No Charge,Battery OK,Power Adapter Error,Medium,Charger,Step 1: Inspect the charger cable and adapter for visible damage; Step 2: Check the wall socket with another device; Step 3: Clean the charging port of dust/debris; Step 4: Test with a different compatible charger/adapter; Step 5: Replace the charger if output voltage is incorrect or it overheats.,1850,1.1
Laptop,MSI,55,13,Normal,49,Camera Not Detected,Blurry Image,Black Screen,Low,Webcam,Step 1: Check camera privacy settings and app permissions; Step 2: Update or reinstall the webcam drivers; Step 3: Test the webcam in a different application; Step 4: Check the internal camera cable connection if accessible; Step 5: Replace the webcam module if not detected after driver reinstall.,1700,1.2
Laptop,MSI,2,2,Student,1,Battery Drain,Low Backup,Not Charging,High,Battery,"Step 1: Check battery health using built-in diagnostics (e.g., powercfg /batteryreport); Step 2: Inspect for physical swelling or deformation - stop use immediately if found; Step 3: Calibrate the battery with a full charge-discharge cycle; Step 4: Check background apps causing excess power draw; Step 5: Replace the battery if health is below 50% or swelling is present.",3800,1.9
Mobile,Xiaomi,45,11,Normal,42,Speaker Buzzing,Low Bass,Distorted Output,Low,Speaker,Step 1: Check volume mixer and mute settings; Step 2: Update or reinstall audio drivers; Step 3: Test with headphones to isolate speaker hardware fault; Step 4: Clean speaker grille of dust/debris; Step 5: Replace the speaker unit if crackling/no sound persists.,600,1.4
Desktop,HP,27,4,Developer,20,Clicking Sound,No Power LED,Fails To Start,Medium,PSU,Step 1: Check the wall socket and power cable for faults; Step 2: Perform a PSU paperclip test to confirm the fan spins; Step 3: Inspect for burning smell or bulging capacitors inside the PSU; Step 4: Test with a known-working PSU if available; Step 5: Replace the PSU with an adequate wattage unit if it fails the test.,3950,2.5
Laptop,MSI,91,12,Remote Worker,89,Hinge Stuck,Difficult To Open,Screen Misalignment,Medium,Hinge,Step 1: Inspect hinge alignment and screws for looseness; Step 2: Tighten visible hinge screws carefully; Step 3: Check for cracks in the hinge housing/plastic; Step 4: Apply light lubrication if movement is stiff; Step 5: Replace the hinge assembly if cracked or completely loose.,3400,2.4
Desktop,HP,3,15,Content Creator,2,Random Shutdown,No Power,Power Fluctuation,High,PSU,Step 1: Check the wall socket and power cable for faults; Step 2: Perform a PSU paperclip test to confirm the fan spins; Step 3: Inspect for burning smell or bulging capacitors inside the PSU; Step 4: Test with a known-working PSU if available; Step 5: Replace the PSU with an adequate wattage unit if it fails the test.,4000,1.5
Mobile,Vivo,26,6,Developer,22,Speaker Buzzing,Low Bass,Distorted Output,Low,Speaker,Step 1: Check volume mixer and mute settings; Step 2: Update or reinstall audio drivers; Step 3: Test with headphones to isolate speaker hardware fault; Step 4: Clean speaker grille of dust/debris; Step 5: Replace the speaker unit if crackling/no sound persists.,1550,1.2
Desktop,Custom Build,55,4,Student,50,Restart Issues,Power Failure,No Boot,High,PSU,Step 1: Check the wall socket and power cable for faults; Step 2: Perform a PSU paperclip test to confirm the fan spins; Step 3: Inspect for burning smell or bulging capacitors inside the PSU; Step 4: Test with a known-working PSU if available; Step 5: Replace the PSU with an adequate wattage unit if it fails the test.,3950,1.7
Laptop,MSI,73,4,Developer,64,Fan Whining Noise,Hot Bottom Panel,Performance Drop,Medium,Cooling Fan,Step 1: Use compressed air to clean the fan vents and intake; Step 2: Open the back panel and clean dust from the fan and heatsink; Step 3: Check fan spin freely without obstruction; Step 4: Reapply thermal paste on CPU/GPU if overheating persists; Step 5: Replace the cooling fan if noise or shutdown continues after cleaning.,2000,2.0
Laptop,Acer,22,7,Student,14,Loose Adapter,Intermittent Charging,Battery OK,Medium,Charger,Step 1: Inspect the charger cable and adapter for visible damage; Step 2: Check the wall socket with another device; Step 3: Clean the charging port of dust/debris; Step 4: Test with a different compatible charger/adapter; Step 5: Replace the charger if output voltage is incorrect or it overheats.,1400,1.4
Mobile,Oppo,81,2,Business,74,Recording Failure,Low Mic Volume,Calls Connected,Medium,Microphone,Step 1: Check microphone permissions for the affected app; Step 2: Remove any case or cover that may be blocking the mic; Step 3: Test microphone in voice recorder app vs call app; Step 4: Clean the microphone grille of dust/debris; Step 5: Replace the microphone module at a service center if issue persists.,1250,1.4
Desktop,Dell,61,10,Developer,52,Slow Internet,Frequent Disconnect,Packet Loss,Medium,Network Card,Step 1: Update or reinstall the network adapter drivers; Step 2: Check physical cable/antenna connections; Step 3: Reseat the network card if it is a PCIe add-in card; Step 4: Run network troubleshooter and reset TCP/IP stack; Step 5: Replace the network card if it is not detected by the system.,500,1.1
Desktop,HP,81,12,Student,77,No Display,Artifacts,System Running,Medium,GPU,"Step 1: Update or reinstall the latest GPU drivers; Step 2: Check for overheating using monitoring software (e.g., HWMonitor); Step 3: Reseat the GPU in the PCIe slot and check power connectors; Step 4: Test the GPU in another system or test another GPU in this system; Step 5: Send for repair/replacement if artifacts persist after a clean driver install.",2600,3.5
Laptop,MSI,84,6,Developer,80,Frequent Freezing,Read Write Error,Disk Warning,Medium,SSD,Step 1: Back up all critical data immediately; Step 2: Check disk health using CrystalDiskInfo or manufacturer tool; Step 3: Update the SSD firmware and check SATA/NVMe cable connections; Step 4: Run CHKDSK or a disk repair utility to fix file system errors; Step 5: Replace the SSD if SMART status shows failing or bad sectors increase.,1800,3.2
Mobile,Xiaomi,58,4,Office,54,Delayed Touch Response,Random Taps,Screen Freeze,High,Touch Screen Digitizer,Step 1: Clean the screen and remove any screen protector causing interference; Step 2: Restart the device to rule out a software freeze; Step 3: Test touch response in safe mode; Step 4: Check for physical screen damage near unresponsive areas; Step 5: Replace the touch digitizer if ghost touch continues after restart.,2650,2.5
Mobile,Google,87,5,Developer,82,Recording Failure,Low Mic Volume,Calls Connected,Medium,Microphone,Step 1: Check microphone permissions for the affected app; Step 2: Remove any case or cover that may be blocking the mic; Step 3: Test microphone in voice recorder app vs call app; Step 4: Clean the microphone grille of dust/debris; Step 5: Replace the microphone module at a service center if issue persists.,1300,1.0
Desktop,Acer,84,5,Business,74,Application Crash,Memory Error,Slow Performance,Medium,RAM,"Step 1: Power off and reseat the RAM modules firmly in their slots; Step 2: Clean the RAM contacts gently with an eraser or contact cleaner; Step 3: Test each RAM stick individually in different slots to isolate the fault; Step 4: Run a memory diagnostic tool (e.g., Windows Memory Diagnostic / MemTest86); Step 5: Replace the faulty RAM module if errors persist.",2000,1.7
Laptop,Asus,64,2,Normal,62,Slow Startup,Disk Errors,File Corruption,High,SSD,Step 1: Back up all critical data immediately; Step 2: Check disk health using CrystalDiskInfo or manufacturer tool; Step 3: Update the SSD firmware and check SATA/NVMe cable connections; Step 4: Run CHKDSK or a disk repair utility to fix file system errors; Step 5: Replace the SSD if SMART status shows failing or bad sectors increase.,2350,3.4
Mobile,Google,67,7,Gaming,63,Flickering Screen,Lines On Screen,Touch OK,High,Display,Step 1: Connect to an external monitor to check if the issue is the panel or GPU; Step 2: Check display cable/flex connection inside the device; Step 3: Adjust brightness and refresh rate settings to rule out software glitches; Step 4: Update or roll back display drivers; Step 5: Replace the display panel/digitizer if hardware fault is confirmed.,2950,2.6
Laptop,Acer,27,14,Business,19,Portable Use Failure,Battery Low,Charger OK,Medium,Battery,"Step 1: Check battery health using built-in diagnostics (e.g., powercfg /batteryreport); Step 2: Inspect for physical swelling or deformation - stop use immediately if found; Step 3: Calibrate the battery with a full charge-discharge cycle; Step 4: Check background apps causing excess power draw; Step 5: Replace the battery if health is below 50% or swelling is present.",4500,2.3
Laptop,Asus,71,13,Developer,65,Keys Not Working,Sticky Keys,Delayed Response,Medium,Keyboard,Step 1: Power off immediately if liquid spill is suspected; Step 2: Clean keys with compressed air and isopropyl alcohol; Step 3: Check for stuck debris under affected keys; Step 4: Test with an external USB keyboard to confirm internal fault; Step 5: Replace the keyboard module if keys remain unresponsive.,2850,1.3
Laptop,Asus,61,6,Developer,61,Overheating,Fan Noise,Auto Shutdown,High,Cooling Fan,Step 1: Use compressed air to clean the fan vents and intake; Step 2: Open the back panel and clean dust from the fan and heatsink; Step 3: Check fan spin freely without obstruction; Step 4: Reapply thermal paste on CPU/GPU if overheating persists; Step 5: Replace the cooling fan if noise or shutdown continues after cleaning.,1800,2.3
Mobile,Google,2,2,Student,1,Screen Stays On During Calls,Accidental Touch,Sensor Error,Medium,Proximity Sensor,Step 1: Remove any screen protector or case blocking the sensor; Step 2: Clean the sensor area near the top of the screen; Step 3: Test sensor calibration using a diagnostic app; Step 4: Restart the device to reset sensor drivers; Step 5: Replace the proximity sensor module if it remains unresponsive.,1350,1.3
Desktop,Asus,38,12,Remote Worker,35,USB Failure,Random Freeze,No POST,High,Motherboard,"Step 1: Disconnect all peripherals and power cables; Step 2: Inspect for bulging/burnt capacitors and burning smell; Step 3: Reset CMOS using the jumper or by removing the battery; Step 4: Reseat RAM and GPU to rule out connection issues; Step 5: If no POST persists, the motherboard likely needs professional repair or replacement.",7200,2.7
Laptop,Lenovo,78,7,Developer,68,Overheating,Fan Noise,Auto Shutdown,Medium,Cooling Fan,Step 1: Use compressed air to clean the fan vents and intake; Step 2: Open the back panel and clean dust from the fan and heatsink; Step 3: Check fan spin freely without obstruction; Step 4: Reapply thermal paste on CPU/GPU if overheating persists; Step 5: Replace the cooling fan if noise or shutdown continues after cleaning.,850,1.7
Desktop,HP,37,1,Business,33,No POST,Power LED ON,No Boot,Medium,Motherboard,"Step 1: Disconnect all peripherals and power cables; Step 2: Inspect for bulging/burnt capacitors and burning smell; Step 3: Reset CMOS using the jumper or by removing the battery; Step 4: Reseat RAM and GPU to rule out connection issues; Step 5: If no POST persists, the motherboard likely needs professional repair or replacement.",2900,4.1
Mobile,Xiaomi,80,4,Office,71,Distorted Audio,Low Volume,Calls OK,Medium,Speaker,Step 1: Check volume mixer and mute settings; Step 2: Update or reinstall audio drivers; Step 3: Test with headphones to isolate speaker hardware fault; Step 4: Clean speaker grille of dust/debris; Step 5: Replace the speaker unit if crackling/no sound persists.,1150,1.2
Desktop,Asus,55,8,Content Creator,46,Overheating,Fan Not Spinning,Auto Shutdown,Low,CPU Fan,Step 1: Power off and unplug the system; Step 2: Open the cabinet and clean dust from the CPU fan and heatsink; Step 3: Check fan rotation manually and listen for bearing noise; Step 4: Reapply thermal paste on the CPU if it has dried out; Step 5: Replace the CPU fan if it does not spin freely or is noisy after cleaning.,700,2.4
Mobile,Apple,27,10,Office,21,No Network,SIM Not Detected,Signal Drop,Medium,SIM Card Reader,Step 1: Remove and reinsert the SIM card properly; Step 2: Clean the SIM contacts and tray; Step 3: Test the SIM in another phone to rule out SIM damage; Step 4: Check for carrier network outage in the area; Step 5: Replace the SIM tray/reader module if SIM is still not detected.,700,1.2
Mobile,Apple,40,5,Normal,39,Sudden Power Off,Battery Swelling,Heating,High,Battery,"Step 1: Check battery health using built-in diagnostics (e.g., powercfg /batteryreport); Step 2: Inspect for physical swelling or deformation - stop use immediately if found; Step 3: Calibrate the battery with a full charge-discharge cycle; Step 4: Check background apps causing excess power draw; Step 5: Replace the battery if health is below 50% or swelling is present.",3900,2.3
Mobile,Samsung,87,2,Student,86,Camera Not Opening,App Force Close,Black Preview,Medium,Camera Module,Step 1: Clean the camera lens of smudges or dust; Step 2: Force-close and reopen the camera app; Step 3: Check for pending software updates; Step 4: Restart the device to clear temporary camera service errors; Step 5: Replace the camera module if blur/focus issues continue after cleaning.,2800,1.4
Desktop,HP,88,13,Student,78,Restart Issues,Power Failure,No Boot,Medium,PSU,Step 1: Check the wall socket and power cable for faults; Step 2: Perform a PSU paperclip test to confirm the fan spins; Step 3: Inspect for burning smell or bulging capacitors inside the PSU; Step 4: Test with a known-working PSU if available; Step 5: Replace the PSU with an adequate wattage unit if it fails the test.,2700,1.1
Desktop,Acer,3,16,Student,3,Long Loading Time,Disk Health Alert,Lagging,Medium,SSD,Step 1: Back up all critical data immediately; Step 2: Check disk health using CrystalDiskInfo or manufacturer tool; Step 3: Update the SSD firmware and check SATA/NVMe cable connections; Step 4: Run CHKDSK or a disk repair utility to fix file system errors; Step 5: Replace the SSD if SMART status shows failing or bad sectors increase.,2750,1.9
Laptop,HP,19,1,Student,19,Fan Whining Noise,Hot Bottom Panel,Performance Drop,Medium,Cooling Fan,Step 1: Use compressed air to clean the fan vents and intake; Step 2: Open the back panel and clean dust from the fan and heatsink; Step 3: Check fan spin freely without obstruction; Step 4: Reapply thermal paste on CPU/GPU if overheating persists; Step 5: Replace the cooling fan if noise or shutdown continues after cleaning.,1150,1.9
Laptop,Asus,73,5,Remote Worker,64,No Charge,Battery OK,Power Adapter Error,Medium,Charger,Step 1: Inspect the charger cable and adapter for visible damage; Step 2: Check the wall socket with another device; Step 3: Clean the charging port of dust/debris; Step 4: Test with a different compatible charger/adapter; Step 5: Replace the charger if output voltage is incorrect or it overheats.,950,1.3
Desktop,Acer,44,9,Content Creator,44,Long Loading Time,Disk Health Alert,Lagging,High,SSD,Step 1: Back up all critical data immediately; Step 2: Check disk health using CrystalDiskInfo or manufacturer tool; Step 3: Update the SSD firmware and check SATA/NVMe cable connections; Step 4: Run CHKDSK or a disk repair utility to fix file system errors; Step 5: Replace the SSD if SMART status shows failing or bad sectors increase.,2950,2.1
Desktop,Dell,72,12,Normal,68,No Boot,Beep Sound,Power LED ON,Low,RAM,"Step 1: Power off and reseat the RAM modules firmly in their slots; Step 2: Clean the RAM contacts gently with an eraser or contact cleaner; Step 3: Test each RAM stick individually in different slots to isolate the fault; Step 4: Run a memory diagnostic tool (e.g., Windows Memory Diagnostic / MemTest86); Step 5: Replace the faulty RAM module if errors persist.",1950,1.3
Laptop,Asus,84,7,Gaming,78,Keys Not Working,Sticky Keys,Delayed Response,Medium,Keyboard,Step 1: Power off immediately if liquid spill is suspected; Step 2: Clean keys with compressed air and isopropyl alcohol; Step 3: Check for stuck debris under affected keys; Step 4: Test with an external USB keyboard to confirm internal fault; Step 5: Replace the keyboard module if keys remain unresponsive.,1500,1.4
Desktop,Acer,43,16,Student,34,Clicking Sound,Slow Read Write,Disk Warning,Medium,HDD,Step 1: Back up all data immediately when clicking/grinding noise is heard; Step 2: Check SMART status using CrystalDiskInfo; Step 3: Check and reseat the SATA power and data cables; Step 4: Run CHKDSK to scan for and attempt recovery of bad sectors; Step 5: Replace the HDD with an SSD if failure is confirmed.,1800,3.4
Desktop,Dell,37,11,Gaming,37,Disk Not Detected,Boot Failure,BIOS Error,High,HDD,Step 1: Back up all data immediately when clicking/grinding noise is heard; Step 2: Check SMART status using CrystalDiskInfo; Step 3: Check and reseat the SATA power and data cables; Step 4: Run CHKDSK to scan for and attempt recovery of bad sectors; Step 5: Replace the HDD with an SSD if failure is confirmed.,3750,2.3
Mobile,OnePlus,70,3,Business,67,Rapid Discharge,Heating,Low Backup,High,Battery,"Step 1: Check battery health using built-in diagnostics (e.g., powercfg /batteryreport); Step 2: Inspect for physical swelling or deformation - stop use immediately if found; Step 3: Calibrate the battery with a full charge-discharge cycle; Step 4: Check background apps causing excess power draw; Step 5: Replace the battery if health is below 50% or swelling is present.",4500,1.7
Laptop,MSI,61,8,Content Creator,54,Frequent Freezing,Read Write Error,Disk Warning,High,SSD,Step 1: Back up all critical data immediately; Step 2: Check disk health using CrystalDiskInfo or manufacturer tool; Step 3: Update the SSD firmware and check SATA/NVMe cable connections; Step 4: Run CHKDSK or a disk repair utility to fix file system errors; Step 5: Replace the SSD if SMART status shows failing or bad sectors increase.,2650,2.8
Laptop,MSI,39,12,Remote Worker,38,High Temperature,Fan Slow,Random Shutdown,Medium,Cooling Fan,Step 1: Use compressed air to clean the fan vents and intake; Step 2: Open the back panel and clean dust from the fan and heatsink; Step 3: Check fan spin freely without obstruction; Step 4: Reapply thermal paste on CPU/GPU if overheating persists; Step 5: Replace the cooling fan if noise or shutdown continues after cleaning.,1400,2.3
Desktop,Dell,46,14,Content Creator,41,CPU Throttling,Grinding Noise,System Lag,Low,CPU Fan,Step 1: Power off and unplug the system; Step 2: Open the cabinet and clean dust from the CPU fan and heatsink; Step 3: Check fan rotation manually and listen for bearing noise; Step 4: Reapply thermal paste on the CPU if it has dried out; Step 5: Replace the CPU fan if it does not spin freely or is noisy after cleaning.,350,2.0
Desktop,HP,69,3,Content Creator,68,POST Failure,Beep Sound,Power ON,High,RAM,"Step 1: Power off and reseat the RAM modules firmly in their slots; Step 2: Clean the RAM contacts gently with an eraser or contact cleaner; Step 3: Test each RAM stick individually in different slots to isolate the fault; Step 4: Run a memory diagnostic tool (e.g., Windows Memory Diagnostic / MemTest86); Step 5: Replace the faulty RAM module if errors persist.",2650,2.2
Laptop,Dell,50,2,Business,44,No Display,External Monitor Works,Power ON,Medium,Display,Step 1: Connect to an external monitor to check if the issue is the panel or GPU; Step 2: Check display cable/flex connection inside the device; Step 3: Adjust brightness and refresh rate settings to rule out software glitches; Step 4: Update or roll back display drivers; Step 5: Replace the display panel/digitizer if hardware fault is confirmed.,8650,2.0
Laptop,Dell,94,11,Normal,88,Storage Not Detected,Boot Failure,BIOS Error,High,SSD,Step 1: Back up all critical data immediately; Step 2: Check disk health using CrystalDiskInfo or manufacturer tool; Step 3: Update the SSD firmware and check SATA/NVMe cable connections; Step 4: Run CHKDSK or a disk repair utility to fix file system errors; Step 5: Replace the SSD if SMART status shows failing or bad sectors increase.,3200,3.0
Mobile,Samsung,90,7,Student,84,Poor Backup,Battery Swelling,Heating,High,Battery,"Step 1: Check battery health using built-in diagnostics (e.g., powercfg /batteryreport); Step 2: Inspect for physical swelling or deformation - stop use immediately if found; Step 3: Calibrate the battery with a full charge-discharge cycle; Step 4: Check background apps causing excess power draw; Step 5: Replace the battery if health is below 50% or swelling is present.",4100,2.1
Mobile,Xiaomi,24,12,Developer,20,Delayed Touch Response,Random Taps,Screen Freeze,High,Touch Screen Digitizer,Step 1: Clean the screen and remove any screen protector causing interference; Step 2: Restart the device to rule out a software freeze; Step 3: Test touch response in safe mode; Step 4: Check for physical screen damage near unresponsive areas; Step 5: Replace the touch digitizer if ghost touch continues after restart.,2650,1.1
Laptop,Dell,17,3,Business,14,POST Failure,Beep Sound,Power ON,Medium,RAM,"Step 1: Power off and reseat the RAM modules firmly in their slots; Step 2: Clean the RAM contacts gently with an eraser or contact cleaner; Step 3: Test each RAM stick individually in different slots to isolate the fault; Step 4: Run a memory diagnostic tool (e.g., Windows Memory Diagnostic / MemTest86); Step 5: Replace the faulty RAM module if errors persist.",1050,1.4
Desktop,HP,56,1,Gaming,47,Random Shutdown,No Power,Power Fluctuation,Medium,PSU,Step 1: Check the wall socket and power cable for faults; Step 2: Perform a PSU paperclip test to confirm the fan spins; Step 3: Inspect for burning smell or bulging capacitors inside the PSU; Step 4: Test with a known-working PSU if available; Step 5: Replace the PSU with an adequate wattage unit if it fails the test.,3250,2.3
Desktop,Asus,54,3,Content Creator,45,Clicking Sound,No Power LED,Fails To Start,High,PSU,Step 1: Check the wall socket and power cable for faults; Step 2: Perform a PSU paperclip test to confirm the fan spins; Step 3: Inspect for burning smell or bulging capacitors inside the PSU; Step 4: Test with a known-working PSU if available; Step 5: Replace the PSU with an adequate wattage unit if it fails the test.,2500,2.0
Laptop,HP,17,7,Developer,14,Screen Flicker,System Running,External Monitor OK,High,Display,Step 1: Connect to an external monitor to check if the issue is the panel or GPU; Step 2: Check display cable/flex connection inside the device; Step 3: Adjust brightness and refresh rate settings to rule out software glitches; Step 4: Update or roll back display drivers; Step 5: Replace the display panel/digitizer if hardware fault is confirmed.,5000,2.7
Mobile,Oppo,64,9,Normal,54,No Network,SIM Not Detected,Signal Drop,High,SIM Card Reader,Step 1: Remove and reinsert the SIM card properly; Step 2: Clean the SIM contacts and tray; Step 3: Test the SIM in another phone to rule out SIM damage; Step 4: Check for carrier network outage in the area; Step 5: Replace the SIM tray/reader module if SIM is still not detected.,1850,1.3
Mobile,Apple,80,9,Office,78,Weak Vibration,Inconsistent Buzz,Motor Noise,Low,Vibration Motor,"Step 1: Check vibration settings are enabled in system settings; Step 2: Restart the device to rule out software glitch; Step 3: Test vibration in multiple apps (calls, notifications, keyboard); Step 4: Check for physical damage from drops; Step 5: Replace the vibration motor if it produces no haptic feedback.",850,1.2
Desktop,Asus,35,3,Student,25,Bad Sectors,File Corruption,Slow Startup,Medium,HDD,Step 1: Back up all data immediately when clicking/grinding noise is heard; Step 2: Check SMART status using CrystalDiskInfo; Step 3: Check and reseat the SATA power and data cables; Step 4: Run CHKDSK to scan for and attempt recovery of bad sectors; Step 5: Replace the HDD with an SSD if failure is confirmed.,1500,3.2
Laptop,Asus,77,2,Office,74,Lines On Screen,Display Lag,Power ON,High,Display,Step 1: Connect to an external monitor to check if the issue is the panel or GPU; Step 2: Check display cable/flex connection inside the device; Step 3: Adjust brightness and refresh rate settings to rule out software glitches; Step 4: Update or roll back display drivers; Step 5: Replace the display panel/digitizer if hardware fault is confirmed.,2600,2.5
Desktop,Custom Build,50,15,Student,44,No Network,Driver Crash,Limited Connectivity,Low,Network Card,Step 1: Update or reinstall the network adapter drivers; Step 2: Check physical cable/antenna connections; Step 3: Reseat the network card if it is a PCIe add-in card; Step 4: Run network troubleshooter and reset TCP/IP stack; Step 5: Replace the network card if it is not detected by the system.,800,1.6
Laptop,HP,39,1,Remote Worker,37,Screen Flicker,System Running,External Monitor OK,High,Display,Step 1: Connect to an external monitor to check if the issue is the panel or GPU; Step 2: Check display cable/flex connection inside the device; Step 3: Adjust brightness and refresh rate settings to rule out software glitches; Step 4: Update or roll back display drivers; Step 5: Replace the display panel/digitizer if hardware fault is confirmed.,7400,1.8
Desktop,HP,88,8,Developer,88,Rattling Noise,Vibration,Reduced Airflow,Low,Case Fan,Step 1: Power off and open the case to inspect the fan; Step 2: Clean dust from the fan blades and grille; Step 3: Check fan cable connection to the motherboard/PSU; Step 4: Lubricate or replace bearings if rattling continues; Step 5: Replace the fan if it does not spin after cleaning.,550,1.2
Desktop,Acer,74,14,Content Creator,66,Game Crashes,Visual Glitches,High GPU Temp,High,GPU,"Step 1: Update or reinstall the latest GPU drivers; Step 2: Check for overheating using monitoring software (e.g., HWMonitor); Step 3: Reseat the GPU in the PCIe slot and check power connectors; Step 4: Test the GPU in another system or test another GPU in this system; Step 5: Send for repair/replacement if artifacts persist after a clean driver install.",1650,2.7
Laptop,Dell,51,11,Normal,46,Flickering Screen,Lines On Screen,Touch OK,Medium,Display,Step 1: Connect to an external monitor to check if the issue is the panel or GPU; Step 2: Check display cable/flex connection inside the device; Step 3: Adjust brightness and refresh rate settings to rule out software glitches; Step 4: Update or roll back display drivers; Step 5: Replace the display panel/digitizer if hardware fault is confirmed.,4100,2.2
Mobile,OnePlus,96,6,Developer,88,Muffled Audio,Low Mic Volume,Calls OK,High,Microphone,Step 1: Check microphone permissions for the affected app; Step 2: Remove any case or cover that may be blocking the mic; Step 3: Test microphone in voice recorder app vs call app; Step 4: Clean the microphone grille of dust/debris; Step 5: Replace the microphone module at a service center if issue persists.,1500,1.1
