Device,Brand,Model,OS,Age_Months,Daily_Usage_Hours,Failure_After_Months,Usage_Type,Season,RAM_GB,Storage_GB,Battery_%_At_Failure,Warranty_Status,Previous_Repairs,Symptom1,Symptom2,Symptom3,Faulty_Component,Severity,Repair_Cost_INR,Repair_Time_Days,Solution
Desktop,Lenovo,IdeaCentre 5i,Linux Mint 21,35,15,34,Student,Winter,64,2048,0,Expired,1,Clicking Sound,Slow Performance,File Corruption,HDD,High,3787,2,Backup data immediately. Replace HDD. Run bad sector scan.
Mobile,Samsung,Galaxy Z Flip 5,iOS 17,12,12,6,Content Creator,Spring,8,64,13,Under Warranty,4,Blurry Photos,Camera App Crash,Black Screen In Camera,Camera,Medium,4880,3,"Clear camera cache. If issue persists, replace camera module."
Laptop,HP,Dragonfly Pro,Ubuntu 22.04,35,11,18,Education,Spring,64,2048,7,Expired,1,No Audio,Distorted Sound,One Speaker Dead,Speaker,Low,2986,2,Update audio drivers. Check audio settings. Replace speaker unit.
Laptop,Acer,ConceptD 7,Ubuntu 22.04,73,1,71,Education,Summer,16,256,6,Extended Warranty,4,Display Artifacts,Screen Flickering,Game Crashes,GPU,High,6278,6,Update GPU drivers. Clean GPU. Replace dedicated GPU if discrete card faulty.
Smartwatch,Garmin,Instinct 2 Solar,Wear OS 4,50,2,37,Business,Spring,1,32,78,Under Warranty,1,Call Audio Not Clear,Voice Assistant Not Working,Mic Not Detected,Microphone,Low,1659,2,Clean microphone opening. Replace microphone module.
Mobile,OnePlus,Nord 3,Android 14,63,12,59,Student,Autumn,6,64,88,Expired,0,Slow Charging,Charging Stops,Port Damaged,Charging Port,Medium,1482,2,Replace charging port module.
Router,Tenda,AC23,AsusWRT,26,3,15,Content Creator,Spring,0,0,0,Under Warranty,2,No Internet From ISP,WAN LED Off,ISP Connected But No Net,WAN Port,High,503,1,Check ISP line. Test with different cable. Replace router if WAN port damaged.
Desktop,MSI,Infinite RS,Windows 11 Pro,49,5,40,Content Creator,Spring,128,4096,0,Under Warranty,2,POST Failure,Beep Sound,Random Blue Screen,RAM,High,4182,2,Reseat RAM. Test each stick individually. Replace faulty module.
Desktop,Apple,Mac Mini M2 Pro,Windows 10 Pro,45,15,34,Office,Autumn,128,512,0,Under Warranty,4,Poor Airflow,High Case Temperature,Loud Case Noise,Cabinet Fan,Low,1380,1,Clean case fans. Add additional fans. Optimize cable management.
Mobile,Oppo,Find X7 Pro,iOS 15,73,9,56,Office,Spring,16,1024,84,Extended Warranty,3,No Network,SIM Not Detected,Network Dropping,SIM Card Slot,Medium,1293,2,Clean SIM slot. Try different SIM. Replace SIM tray if bent.
Smart TV,Sony,Bravia XR X95L,WebOS 23,66,7,55,Education,Summer,3,16,0,Under Warranty,0,No Sound,Distorted Audio,One Speaker Dead,Speaker,Medium,2299,1,Check audio settings. Update firmware. Replace internal speakers.
Laptop,Samsung,Galaxy Book 3 Ultra,Windows 10,79,9,70,Business,Winter,32,512,14,Extended Warranty,1,Slow Boot,Application Lag,Disk Health Alert,SSD,Medium,2846,2,Run SMART diagnostics. Defrag if HDD. Replace SSD if health below 70%.
Printer,HP,LaserJet Pro M404dn,Windows 11,5,3,4,Normal,Summer,0,0,0,Extended Warranty,4,Light Print,Toner Low Warning,Streaks On Print,Toner Cartridge,Low,3688,1,Shake toner cartridge gently. Replace if empty.
Smart TV,TCL,C835 Mini LED,Tizen 6.5,66,6,57,Education,Spring,3,16,0,Expired,4,Half Screen Dark,Horizontal Lines,Color Issues,T-Con Board,High,5854,5,Replace T-Con board. Experienced technician required.
Desktop,Custom Build,Intel Core i7-13700K Build,Windows 11 Home,60,4,47,Normal,Summer,128,1024,0,Under Warranty,2,No Internet,LAN Not Detected,Slow Network,Network Card,Medium,825,2,Update NIC drivers. Replace network card if faulty.
Mobile,Xiaomi,12 Pro,Android 14,78,9,75,Healthcare,Autumn,6,256,57,Extended Warranty,2,Not Charging,Adapter OK,Battery Healthy,Charging IC,High,1758,4,Replace Charging IC chip — requires motherboard-level repair.
Mobile,Motorola,Edge 50 Pro,Android 14,77,11,64,Healthcare,Autumn,8,128,11,Extended Warranty,3,Bluetooth Not Connecting,Drops Connection,Cannot Pair,Bluetooth Module,Low,2970,2,Toggle Bluetooth off/on. Clear paired devices. Factory reset if issue persists.
Router,Tenda,AC23,DD-WRT,17,3,6,Student,Autumn,0,0,0,Under Warranty,0,No Internet From ISP,WAN LED Off,ISP Connected But No Net,WAN Port,High,3975,1,Check ISP line. Test with different cable. Replace router if WAN port damaged.
Mobile,Samsung,Galaxy S22,Android 12,38,10,37,Gaming,Spring,12,64,40,Expired,2,Blurry Photos,Camera App Crash,Black Screen In Camera,Camera,Medium,2538,1,"Clear camera cache. If issue persists, replace camera module."
Mobile,Xiaomi,POCO F5 Pro,Android 13,78,11,60,Gaming,Autumn,16,128,76,Extended Warranty,4,Poor Backup,Heating While Charging,Battery Percentage Jumping,Battery,Medium,3899,1,"Recalibrate battery. If issue persists, replace battery."
Printer,HP,LaserJet MFP M428fdw,macOS Ventura,6,8,2,Developer,Monsoon,0,0,0,Under Warranty,1,Document Feeder Jam,Skewed Scan,ADF Not Pulling Paper,ADF Unit,Medium,3577,4,Clean ADF rollers. Replace ADF unit if physically damaged.
Laptop,Asus,TUF Gaming A15,Windows 11 Home,25,9,17,Education,Spring,8,2048,46,Under Warranty,4,Storage Not Detected,Boot Failure,BIOS Error,SSD,High,7691,4,Check SATA/NVMe connection. Replace SSD. Reinstall OS.
Smart TV,TCL,S546,Tizen 7.0,44,8,35,Gaming,Summer,3,32,0,Expired,4,Half Screen Dark,Horizontal Lines,Color Issues,T-Con Board,High,4366,5,Replace T-Con board. Experienced technician required.
Mobile,Google,Pixel 8,Android 13,1,6,1,Developer,Summer,12,128,77,Under Warranty,1,No Power,Random Restart,Touch Not Working,Motherboard,Critical,8947,7,Motherboard-level repair needed. Visit authorized service center immediately.
Mobile,Realme,GT 5 Pro,iOS 15,27,3,16,Business,Winter,6,256,30,Under Warranty,3,Blurry Photos,Camera App Crash,Black Screen In Camera,Camera,Medium,6826,4,"Clear camera cache. If issue persists, replace camera module."
Mobile,Motorola,G54,iOS 16,20,6,12,Gaming,Monsoon,4,64,6,Extended Warranty,4,Slow Charging,Charging Stops,Port Damaged,Charging Port,Medium,749,2,Replace charging port module.
Laptop,Lenovo,Legion 5 Pro,Windows 11 Home,12,2,6,Content Creator,Spring,8,1024,11,Expired,4,No Audio,Distorted Sound,One Speaker Dead,Speaker,Low,1649,1,Update audio drivers. Check audio settings. Replace speaker unit.
Laptop,Apple,MacBook Air 13 M3,macOS Ventura,44,4,30,Office,Spring,8,2048,23,Under Warranty,1,Slow Boot,Application Lag,Disk Health Alert,SSD,Medium,4553,4,Run SMART diagnostics. Defrag if HDD. Replace SSD if health below 70%.
Desktop,Apple,Mac Pro M2 Ultra,Windows 11 Pro,39,7,36,Content Creator,Autumn,128,2048,0,Under Warranty,3,Driver Crashes,Black Screen,Monitor No Signal,GPU,Medium,12683,2,Reinstall GPU drivers. Check PCIe slot. Test with different monitor cable.
Laptop,Dell,G15 Gaming,Windows 11 Pro,20,1,18,Business,Monsoon,8,1024,70,Extended Warranty,4,Battery Not Charging To 100%,Charging Slowly,Battery Percentage Inaccurate,Battery,Low,2145,3,Calibrate battery. Update power management drivers. Replace if capacity below 50%.
Laptop,Lenovo,V15 G4,Linux Mint,12,15,1,Normal,Spring,32,1024,68,Expired,0,Storage Not Detected,Boot Failure,BIOS Error,SSD,High,7035,4,Check SATA/NVMe connection. Replace SSD. Reinstall OS.
Mobile,Oppo,A38,iOS 16,51,14,33,Content Creator,Monsoon,12,128,7,Extended Warranty,4,No Network,SIM Not Detected,Network Dropping,SIM Card Slot,Medium,301,2,Clean SIM slot. Try different SIM. Replace SIM tray if bent.
Printer,HP,Color LaserJet Pro M255dw,macOS Ventura,80,12,74,Business,Monsoon,0,0,0,Under Warranty,3,No Print Output,Blank Pages,Horizontal Lines On Print,Printhead,High,6311,4,"Run automated printhead cleaning. If issue persists, replace printhead."
Smartwatch,Amazfit,T-Rex Ultra,WatchOS 10,5,9,1,Student,Autumn,2,16,61,Expired,4,No Sound From Watch,Call Audio Not Heard,Alarm Not Audible,Speaker,Low,1828,4,Check volume settings. Replace speaker unit.
Tablet,Amazon,Fire HD 8 Plus,iPadOS 17,59,8,46,Business,Autumn,6,256,43,Extended Warranty,1,Low Volume,Distorted Sound,No Audio,Speaker,Low,659,2,Clean speaker grille. Replace speaker unit if hardware fault.
Printer,Epson,Expression Premium XP-7100,macOS Sonoma,29,7,21,Office,Spring,0,0,0,Extended Warranty,0,Paper Jam,Paper Not Feeding,Multiple Pages Feed,Paper Feed Roller,Medium,1802,1,Clean rollers with damp cloth. Replace feed rollers if worn out.
Mobile,Samsung,Galaxy Z Fold 5,iOS 15,21,3,15,Education,Winter,12,256,48,Under Warranty,0,Slow Charging,Gets Hot While Charging,Charger Gets Hot,Charging IC,High,1887,5,"Try original charger. If issue persists, replace Charging IC."
Laptop,Apple,MacBook Pro M2,macOS Ventura,60,15,51,Content Creator,Autumn,32,512,66,Expired,3,Fan Always Running,Loud Fan Noise,High CPU Temperature,Cooling Fan,Medium,961,2,Clean vents. Update BIOS. Replace thermal paste.
Printer,Brother,MFC-L2750DW,macOS Ventura,21,10,17,Healthcare,Spring,0,0,0,Extended Warranty,4,Paper Tray Error,Cannot Load Paper,Tray Not Detected,Paper Tray,Low,1932,2,Clean paper tray sensors. Replace tray if cracked.
Laptop,Apple,MacBook Pro M2,macOS Sonoma,75,10,64,Content Creator,Autumn,8,512,51,Expired,3,Display Artifacts,Screen Flickering,Game Crashes,GPU,High,14005,7,Update GPU drivers. Clean GPU. Replace dedicated GPU if discrete card faulty.
Laptop,Microsoft,Surface Laptop 5,Ubuntu 22.04,37,8,27,Student,Autumn,32,512,64,Expired,0,Frequent BSOD,System Freeze,Memory Dump Error,RAM,High,3132,1,Run MemTest86. Replace faulty RAM. Ensure compatible RAM specs.
Mobile,Apple,iPhone 16 Pro,iOS 16,33,12,22,Office,Autumn,4,512,60,Extended Warranty,3,Blurry Photos,Camera App Crash,Black Screen In Camera,Camera,Medium,5670,2,"Clear camera cache. If issue persists, replace camera module."
Laptop,Dell,Inspiron 15 3530,Ubuntu 22.04,12,6,10,Education,Monsoon,8,1024,38,Under Warranty,3,Camera Not Working,Blurry Video,Black Screen In Camera,Webcam,Low,752,2,Update camera drivers. Check privacy shutter. Replace webcam module.
Printer,Epson,EcoTank ET-2803,macOS Sonoma,68,8,50,Developer,Summer,0,0,0,Extended Warranty,1,Spots On Print,Ghost Images,Dark Patches On Pages,Drum Unit,High,5399,3,Replace drum unit. Clean corona wire if accessible.
Printer,Canon,MAXIFY GX7020,macOS Sonoma,7,4,4,Student,Spring,0,0,0,Expired,3,No Print Output,Blank Pages,Horizontal Lines On Print,Printhead,High,3245,2,"Run automated printhead cleaning. If issue persists, replace printhead."
Tablet,Asus,Vivobook Slate T3304,Android 14,42,11,31,Business,Winter,8,256,15,Expired,3,Low Volume,Distorted Sound,No Audio,Speaker,Low,975,1,Clean speaker grille. Replace speaker unit if hardware fault.
Mobile,Vivo,V29,Android 14,31,6,15,Healthcare,Summer,6,512,59,Expired,4,Poor Backup,Heating While Charging,Battery Percentage Jumping,Battery,Medium,1617,3,"Recalibrate battery. If issue persists, replace battery."
Mobile,OnePlus,10 Pro,Android 14,76,15,71,Developer,Autumn,6,64,70,Extended Warranty,2,Face ID Not Working,Cannot Setup Face ID,Recognition Failure,Face ID Sensor,Medium,7070,4,Recalibrate Face ID. Replace face recognition module if hardware fault.
Laptop,Asus,ExpertBook B9,macOS Ventura,61,16,58,Student,Winter,8,512,36,Expired,4,Frequent BSOD,System Freeze,Memory Dump Error,RAM,High,4942,2,Run MemTest86. Replace faulty RAM. Ensure compatible RAM specs.
Laptop,Apple,MacBook Pro M2,Linux Mint,21,16,6,Education,Summer,8,2048,28,Extended Warranty,1,Overheating,Fan Noise,Auto Shutdown,Cooling Fan,High,819,2,Clean dust from fan/heatsink. Replace thermal paste. Replace fan if faulty.
Mobile,Motorola,Edge 40,Android 14,1,5,1,Developer,Monsoon,6,64,36,Extended Warranty,4,Camera Not Opening,Autofocus Failure,Photos Not Saving,Camera,Medium,4801,3,Clear app data. Factory reset. Replace camera if hardware issue.
Smartwatch,OnePlus,Watch,Wear OS 3,67,10,55,Student,Spring,1,16,71,Extended Warranty,0,Digital Crown Stuck,Button Not Responding,Crown Fallen Off,Crown Button,Low,2037,3,Clean around crown. Replace digital crown assembly.
Printer,Canon,PIXMA MG3620,Windows 11,22,7,6,Office,Spring,0,0,0,Extended Warranty,4,Faded Print,Streaky Output,Color Missing,Ink Cartridge,Low,1305,1,Replace or refill ink cartridges. Run printhead cleaning cycle.
Mobile,OnePlus,Nord CE 3,iOS 15,11,1,5,Content Creator,Monsoon,6,128,79,Expired,0,Camera Not Opening,Autofocus Failure,Photos Not Saving,Camera,Medium,2274,3,Clear app data. Factory reset. Replace camera if hardware issue.
Smart TV,LG,StanbyME,Tizen 6.5,25,10,9,Developer,Summer,3,32,0,Extended Warranty,0,HDMI Not Working,No Signal From Console,HDMI Port Loose,HDMI Port,Medium,1158,3,Try different HDMI cable. Test different port. Replace HDMI port if damaged.
Desktop,Custom Build,Intel Core i7-13700K Build,Windows 11 Home,62,3,44,Education,Monsoon,64,1024,0,Expired,0,Game Crashes,Visual Glitches,High GPU Temp,GPU,High,18364,5,Clean GPU fan. Repaste GPU. Update drivers. Replace GPU if artifacts persist.
Smartwatch,Noise,ColorFit Ultra 3,Wear OS 3,48,4,43,Education,Winter,1,8,77,Under Warranty,0,Call Audio Not Clear,Voice Assistant Not Working,Mic Not Detected,Microphone,Low,2080,4,Clean microphone opening. Replace microphone module.
Laptop,Razer,Blade Stealth 13,macOS Ventura,23,11,20,Normal,Winter,64,2048,89,Under Warranty,1,Display Artifacts,Screen Flickering,Game Crashes,GPU,High,14458,4,Update GPU drivers. Clean GPU. Replace dedicated GPU if discrete card faulty.
Smart TV,Hisense,A6H,Google TV,53,12,37,Content Creator,Autumn,2,16,0,Expired,3,Dim Display,Dark Patches,Backlight Flickering,Backlight,High,3269,5,Replace LED backlight strips or backlight driver board.
Mobile,Motorola,Razr 40 Ultra,iOS 17,84,13,68,Gaming,Autumn,6,64,74,Expired,3,Cracked Screen,Touch Not Working,Display Broken,Display,High,10314,1,Replace display + digitizer assembly.
Mobile,Xiaomi,Redmi Note 13 Pro,Android 13,52,3,50,Content Creator,Monsoon,16,64,51,Under Warranty,2,Not Charging,Adapter OK,Battery Healthy,Charging IC,High,3963,3,Replace Charging IC chip — requires motherboard-level repair.
Mobile,OnePlus,Nord 3,iOS 16,79,3,66,Student,Winter,8,256,9,Expired,4,Flickering Screen,Lines On Screen,Touch OK,Display,High,12637,3,Replace AMOLED display panel. Use original parts for best quality.
Laptop,Apple,MacBook Air M2,macOS Sonoma,57,4,50,Content Creator,Summer,8,1024,5,Extended Warranty,1,Frequent BSOD,System Freeze,Memory Dump Error,RAM,High,3342,2,Run MemTest86. Replace faulty RAM. Ensure compatible RAM specs.
Printer,Samsung,Xpress M2020W,Windows 11,76,4,62,Student,Autumn,0,0,0,Under Warranty,1,Paper Tray Error,Cannot Load Paper,Tray Not Detected,Paper Tray,Low,1302,1,Clean paper tray sensors. Replace tray if cracked.
Mobile,OnePlus,12,iOS 17,33,8,32,Business,Summer,12,512,76,Expired,1,Face ID Not Working,Cannot Setup Face ID,Recognition Failure,Face ID Sensor,Medium,5815,5,Recalibrate Face ID. Replace face recognition module if hardware fault.
Mobile,Samsung,Galaxy S23,iOS 15,34,14,31,Education,Monsoon,6,1024,41,Expired,1,Low Volume,Distorted Audio,Crackling Sound,Speaker,Low,2065,2,Clean speaker. Update audio drivers. Replace if faulty.
Mobile,Vivo,T2 Pro,iOS 15,27,8,15,Healthcare,Summer,8,64,58,Extended Warranty,3,No Sound,Calls OK,Headphones Work,Speaker,Medium,503,1,"Clean speaker grille. If no improvement, replace speaker unit."
Laptop,Microsoft,Surface Pro 9,Windows 11 Home,60,8,57,Healthcare,Autumn,16,256,8,Extended Warranty,1,Storage Not Detected,Boot Failure,BIOS Error,SSD,High,2447,4,Check SATA/NVMe connection. Replace SSD. Reinstall OS.
Laptop,Dell,Latitude 5540,Linux Mint,15,10,1,Office,Summer,8,256,62,Extended Warranty,0,Display Artifacts,Screen Flickering,Game Crashes,GPU,High,6506,7,Update GPU drivers. Clean GPU. Replace dedicated GPU if discrete card faulty.
Laptop,Dell,Latitude 5540,Ubuntu 22.04,57,2,39,Education,Spring,8,1024,69,Under Warranty,2,Slow Boot,Application Lag,Disk Health Alert,SSD,Medium,4880,4,Run SMART diagnostics. Defrag if HDD. Replace SSD if health below 70%.
Smart TV,Vu,Cinema TV,WebOS 23,60,9,46,Healthcare,Spring,1,8,0,Extended Warranty,2,Half Screen Dark,Horizontal Lines,Color Issues,T-Con Board,High,5248,2,Replace T-Con board. Experienced technician required.
Laptop,Microsoft,Surface Laptop 5,Ubuntu 22.04,60,9,59,Content Creator,Summer,32,2048,20,Under Warranty,2,Overheating,Fan Noise,Auto Shutdown,Cooling Fan,High,1482,2,Clean dust from fan/heatsink. Replace thermal paste. Replace fan if faulty.
Desktop,Dell,OptiPlex 3000,Windows 10 Pro,9,5,1,Content Creator,Summer,8,2048,0,Under Warranty,1,PC Not Starting,Power Button Stuck,Intermittent Power,Power Button,Low,398,1,Check front panel connectors. Replace power button if faulty.
Laptop,Lenovo,Yoga 9i,Linux Mint,55,2,37,Normal,Monsoon,64,256,55,Under Warranty,3,Random Crashes,Blue Screen,Memory Warning,RAM,High,1976,1,Reseat RAM sticks. Run memory diagnostics. Replace faulty RAM module.
Smart TV,OnePlus,TV 32 Y1,WebOS 22,77,8,71,Content Creator,Autumn,4,32,0,Extended Warranty,3,No Sound,Distorted Audio,One Speaker Dead,Speaker,Medium,3450,1,Check audio settings. Update firmware. Replace internal speakers.
Laptop,Lenovo,ThinkPad T14s,Linux Mint,62,3,47,Developer,Monsoon,64,256,34,Extended Warranty,2,Random Crashes,Blue Screen,Memory Warning,RAM,High,2285,1,Reseat RAM sticks. Run memory diagnostics. Replace faulty RAM module.
Mobile,Realme,Narzo 60,iOS 15,76,9,75,Gaming,Summer,4,64,36,Expired,4,Flickering Screen,Lines On Screen,Touch OK,Display,High,4534,3,Replace AMOLED display panel. Use original parts for best quality.
Smartwatch,MI,Watch S3,RTOS,81,1,68,Business,Monsoon,2,16,20,Extended Warranty,2,No GPS Signal,Inaccurate Location,GPS Not Locking,GPS Module,Medium,1475,4,Update firmware. Sync with phone. Replace GPS module if hardware fault.
Laptop,Asus,ExpertBook B9,Windows 11 Pro,72,2,70,Normal,Autumn,16,512,83,Extended Warranty,3,Fan Always Running,Loud Fan Noise,High CPU Temperature,Cooling Fan,Medium,679,1,Clean vents. Update BIOS. Replace thermal paste.
Laptop,Apple,MacBook Pro 14 M3 Pro,Windows 11 Home,71,7,57,Healthcare,Winter,32,1024,72,Under Warranty,1,Slow Boot,Application Lag,Disk Health Alert,SSD,Medium,7692,3,Run SMART diagnostics. Defrag if HDD. Replace SSD if health below 70%.
Mobile,OnePlus,11,iOS 16,17,9,5,Developer,Summer,16,128,57,Extended Warranty,0,Blurry Photos,Camera App Crash,Black Screen In Camera,Camera,Medium,1770,2,"Clear camera cache. If issue persists, replace camera module."
Router,D-Link,DIR-X1860,OpenWRT,53,8,35,Gaming,Autumn,0,0,0,Under Warranty,1,Router Not Starting,No Power LED,Keeps Restarting,Power Adapter,High,203,1,Replace router power adapter with matching voltage/ampere specs.
Tablet,Amazon,Fire HD 10,iPadOS 17,8,10,6,Education,Autumn,4,64,53,Extended Warranty,3,Not Powering On,Loop Restart,Touch Completely Dead,Motherboard,Critical,9737,11,Motherboard replacement required. Visit authorized service center.
Laptop,Asus,ProArt Studiobook,Windows 11 Pro,27,16,12,Education,Monsoon,32,2048,50,Expired,4,Cracked Screen,Dead Pixels,No Display,Display,High,13774,4,Replace laptop display panel. Physical damage not covered under warranty.
Mobile,Samsung,Galaxy S22,iOS 16,5,9,1,Healthcare,Autumn,6,256,5,Expired,3,No Power,Random Restart,Touch Not Working,Motherboard,Critical,11411,14,Motherboard-level repair needed. Visit authorized service center immediately.
Desktop,Dell,XPS 8960,Windows 11 Pro,60,10,54,Business,Monsoon,128,4096,0,Extended Warranty,1,No Boot,USB Not Working,Random Restart,Motherboard,Critical,5913,4,Check all connections. Replace CMOS battery. Motherboard may need replacement.
Laptop,Microsoft,Surface Laptop Studio 2,Linux Mint,71,11,69,Developer,Spring,32,2048,37,Expired,4,Camera Not Working,Blurry Video,Black Screen In Camera,Webcam,Low,2128,1,Update camera drivers. Check privacy shutter. Replace webcam module.
Laptop,HP,Victus 15,macOS Sonoma,40,12,38,Developer,Monsoon,16,1024,24,Under Warranty,4,Storage Not Detected,Boot Failure,BIOS Error,SSD,High,4155,2,Check SATA/NVMe connection. Replace SSD. Reinstall OS.
Smart TV,LG,NanoCell NANO75,Google TV,5,4,1,Student,Winter,3,32,0,Expired,4,Dim Display,Dark Patches,Backlight Flickering,Backlight,High,3606,3,Replace LED backlight strips or backlight driver board.
Mobile,OnePlus,Nord 3,Android 13,4,16,1,Gaming,Monsoon,16,256,88,Expired,3,Bluetooth Not Connecting,Drops Connection,Cannot Pair,Bluetooth Module,Low,1162,3,Toggle Bluetooth off/on. Clear paired devices. Factory reset if issue persists.
Mobile,Vivo,Y56,Android 12,25,11,15,Content Creator,Summer,16,256,47,Expired,0,Not Charging,Adapter OK,Battery Healthy,Charging IC,High,4719,3,Replace Charging IC chip — requires motherboard-level repair.
Laptop,Lenovo,LOQ 15,Linux Mint,15,10,2,Business,Monsoon,8,1024,6,Expired,0,Charging Failure,Adapter Fault,Power Fluctuation,Charger,Medium,2625,1,Try different power outlet. Replace charger/adapter. Check charging port.
Tablet,Xiaomi,Pad 6 Pro,iPadOS 17,59,2,48,Content Creator,Winter,16,512,19,Expired,1,Low Volume,Distorted Sound,No Audio,Speaker,Low,2372,2,Clean speaker grille. Replace speaker unit if hardware fault.
Router,Tenda,AC18,OpenWRT,41,9,36,Education,Monsoon,0,0,0,Expired,2,Weak WiFi Signal,Dead Zones,Slow Speed,WiFi Antenna,High,3161,2,Reposition router to central location. Upgrade to WiFi extender or mesh system.
Mobile,OnePlus,11,Android 14,73,1,57,Healthcare,Summer,6,256,89,Under Warranty,4,Not Charging,Adapter OK,Battery Healthy,Charging IC,High,2035,4,Replace Charging IC chip — requires motherboard-level repair.
Router,TP-Link,Archer AX21,DD-WRT,46,8,33,Developer,Spring,0,0,0,Under Warranty,2,No Wired Connection,Port Not Detected,Slow LAN Speed,LAN Port,Medium,2952,3,Check ethernet cable. Try different LAN port. Replace router if multiple ports fail.
Mobile,Vivo,X100 Pro,Android 14,55,15,37,Business,Spring,8,128,61,Extended Warranty,0,Face ID Not Working,Cannot Setup Face ID,Recognition Failure,Face ID Sensor,Medium,5886,4,Recalibrate Face ID. Replace face recognition module if hardware fault.
Mobile,Motorola,Edge 40,iOS 15,34,12,17,Healthcare,Autumn,16,64,27,Extended Warranty,2,Green Tint,Dead Pixels,Burn In,Display,Medium,7298,3,Replace display panel. Burn-in not covered under warranty.
Smart TV,Vu,Masterpiece OLED,Fire TV,42,9,34,Gaming,Monsoon,2,16,0,Extended Warranty,1,Remote Not Working,Slow Response,IR Not Detected,Remote Sensor,Low,1236,2,Replace remote batteries. Try universal remote. Replace IR sensor if faulty.
Laptop,Dell,G16 Gaming,Linux Mint,18,5,1,Normal,Monsoon,64,512,16,Expired,0,Battery Not Charging To 100%,Charging Slowly,Battery Percentage Inaccurate,Battery,Low,2511,3,Calibrate battery. Update power management drivers. Replace if capacity below 50%.
Laptop,MSI,Creator Z16,Windows 10,55,6,39,Business,Winter,8,512,22,Expired,0,Storage Not Detected,Boot Failure,BIOS Error,SSD,High,7229,2,Check SATA/NVMe connection. Replace SSD. Reinstall OS.
Laptop,HP,Victus 15,Windows 11 Home,29,13,17,Content Creator,Monsoon,16,512,6,Under Warranty,0,Hinge Broken,Lid Not Closing,Hinge Cracking,Hinge,Medium,1547,2,Replace laptop hinge. Physical repair at service center.
Laptop,Asus,VivoBook 15,Ubuntu 22.04,46,11,45,Normal,Spring,8,1024,41,Expired,2,No POST,USB Failure,Random Freeze,Motherboard,Critical,17212,9,Motherboard-level repair required. Consult authorized technician immediately.
Mobile,Motorola,G84,iOS 15,28,14,26,Business,Monsoon,12,256,14,Under Warranty,1,No Network,SIM Not Detected,Network Dropping,SIM Card Slot,Medium,1101,1,Clean SIM slot. Try different SIM. Replace SIM tray if bent.
Printer,HP,Color LaserJet Pro M255dw,macOS Sonoma,10,8,9,Education,Monsoon,0,0,0,Extended Warranty,2,Paper Jam,Paper Not Feeding,Multiple Pages Feed,Paper Feed Roller,Medium,2397,2,Clean rollers with damp cloth. Replace feed rollers if worn out.
Tablet,Lenovo,Tab P11 Pro Gen 2,Fire OS 8,22,13,16,Gaming,Winter,12,64,44,Extended Warranty,1,Selfie Camera Blurry,FaceTime Not Working,Front Camera Black,Front Camera,Low,921,3,Clean front camera lens. Replace front camera module.
Mobile,Vivo,T2 Pro,iOS 17,24,6,9,Student,Spring,16,512,35,Expired,3,Fast Battery Drain,Battery Swelling,Random Shutdown,Battery,High,1558,1,Replace battery at authorized service center. Cost varies by model.
Printer,Samsung,Xpress M2070W,Windows 11,80,10,65,Office,Autumn,0,0,0,Under Warranty,2,Light Print,Toner Low Warning,Streaks On Print,Toner Cartridge,Low,1079,1,Shake toner cartridge gently. Replace if empty.
Mobile,Nothing,Phone 2a,iOS 16,9,11,8,Business,Autumn,12,128,23,Extended Warranty,0,Camera Not Opening,Autofocus Failure,Photos Not Saving,Camera,Medium,4903,3,Clear app data. Factory reset. Replace camera if hardware issue.
Mobile,Oppo,A38,iOS 17,24,2,21,Business,Monsoon,6,512,29,Expired,3,Blurry Photos,Camera App Crash,Black Screen In Camera,Camera,Medium,3687,4,"Clear camera cache. If issue persists, replace camera module."
Laptop,Acer,Predator Helios 16,Linux Mint,64,4,52,Student,Spring,64,512,64,Under Warranty,4,Poor Backup,Battery Swelling,Heating,Battery,Medium,5158,3,Replace laptop battery. Use only manufacturer-approved battery.
Mobile,Samsung,Galaxy M54,iOS 17,40,12,39,Normal,Winter,8,512,45,Extended Warranty,0,No Sound,Calls OK,Headphones Work,Speaker,Medium,1524,1,"Clean speaker grille. If no improvement, replace speaker unit."
Router,Jio,JioFiber GigaGateway,AsusWRT,68,8,53,Office,Autumn,0,0,0,Expired,0,Router Hanging,Settings Reset,Cannot Access Admin Panel,Firmware,Medium,242,1,Update to latest firmware. Factory reset if issues persist. Reconfigure settings.
Mobile,Oppo,Find X7,Android 13,34,13,30,Business,Spring,4,256,40,Under Warranty,4,Green Tint,Dead Pixels,Burn In,Display,Medium,6682,2,Replace display panel. Burn-in not covered under warranty.
Laptop,Dell,XPS 13 Plus,Windows 11 Pro,35,2,21,Student,Monsoon,8,1024,42,Extended Warranty,4,Slow Boot,Application Lag,Disk Health Alert,SSD,Medium,5547,2,Run SMART diagnostics. Defrag if HDD. Replace SSD if health below 70%.
Laptop,Acer,Swift X 14,Linux Mint,14,12,1,Content Creator,Monsoon,8,256,39,Under Warranty,2,No Audio,Distorted Sound,One Speaker Dead,Speaker,Low,2044,3,Update audio drivers. Check audio settings. Replace speaker unit.
Tablet,Samsung,Galaxy Tab A8,Fire OS 8,7,10,2,Education,Winter,16,64,73,Under Warranty,1,Loose Charging,Slow Charging,Not Charging,Charging Port,Medium,1164,3,Clean port with compressed air. Replace charging port.
